Original Ontology Class,SCRF Classification,Justification
AUC,Artifact,"Numerical quantity calculated by humans, and so an artifact."
AUC model result,Artifact,"Numerical quantity calculated by humans, and so an artifact."
AUC parity,Artifact,"Numerical quantity calculated by humans, and so an artifact."
Center-Based Clustering,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
Classification Problem,Precept,Problems to be solved by AI/ML algorithms are treated here as precepts.
Clustering Problem,Precept,Problems to be solved by AI/ML algorithms are treated here as precepts.
Combinatorial Search-based Clustering,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
Deep Clustering,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
Deep Fair Clustering,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
Fair k-Means,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
Fair-ML Paradigm,Precept,"Paradigm describing how fairness should be achieved, as such it is a goal for agents and therefore a precept."
FairKM clustering objective,Artifact,"Numerical quantity calculated by humans, and so an artifact."
Fuzzy Clustering,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
Graph-Based Clustering,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
Jung individual fairness,Precept,"Definition of a fairness goal, therefore a precept."
KS statistical parity,Artifact,"Numerical quantity calculated by humans, and so an artifact."
KS-distance,Artifact,"Numerical quantity calculated by humans, and so an artifact."
Kleindessner individual fairness,Precept,"Definition of a fairness goal, a therefore a precept."
ML Problem,Precept,Problems to be solved by AI/ML algorithms are treated here as precepts.
ML dataset,"Artifact, Agent","Dataset created by humans, therefore an artifact. Can also refer to the agents that create that data, and so is itself an agent."
ML model,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
ML model evaluation,Artifact,"Evaluation coducted by humans, and so an artifact."
ML model result,Artifact,"Datum produced by an AI/ML model, therefore an artifact."
Mixture Model-Based Clustering,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
Regression Problem,Precept,Problems to be solved by AI/ML algorithms are treated here as precepts.
WAE,Precept,"Definition of a fairness goal, therefore a precept."
WYSIWYG,Precept,"Definition of a fairness goal, a therefore a precept."
accuracy,Artifact,"Numerical quantity calculated by humans, and so an artifact."
accuracy parity,Artifact,"Numerical quantity calculated by humans, and so an artifact."
adversarial mitigation,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
aggregational fairness,Precept,"Definition of a fairness goal, therefore a precept."
algorithm-agnostic clustering fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
algorithm-agnostic fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
algorithm-specific clustering fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
algorithm-specific fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
algorithmic bias,Precept,"Definition of a fairness goal, therefore a precept."
alpha-pairwise fairness,Precept,"Definition of a fairness goal, therefore a precept."
average cohort clustering objective cost,Artifact,"Numerical quantity calculated by humans, and so an artifact."
average distance from the center,Artifact,"Numerical quantity calculated by humans, and so an artifact."
balance for negative class,Precept,"Definition of a fairness goal, therefore a precept."
balance for positive class,Precept,"Definition of a fairness goal, therefore a precept."
beta-community preserving fairness,Precept,"Definition of a fairness goal, therefore a precept."
bias,Precept,"A percieved problem, and therefore a precept."
bias mitigation method,"Agent, Artifact, Precept","As a strategy for mitigating bias, it is a precept. However, class contains AI/ML algorithms as well, and so also contains agents and artifacts."
bounded group loss,Artifact,"Numerical quantity calculated by humans, and so an artifact."
bounded representation fairness,Precept,"Definition of a fairness goal, therefore a precept."
classification fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
classification probability score,Artifact,"Numerical quantity calculated by humans, and so an artifact."
classification statistical metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
cluster,Artifact,"Function defined on a dataset, and therefore an artifact."
cluster balance,Artifact,"Numerical quantity calculated by humans, and so an artifact."
cluster balance equality,Precept,"Definition of a fairness goal, therefore a precept."
cluster entropy,Artifact,"Numerical quantity calculated by humans, and so an artifact."
cluster entropy fairness,Precept,"Definition of a fairness goal, therefore a precept."
cluster proportion preservation,Precept,"Definition of a fairness goal, therefore a precept."
cluster proportion violation,Artifact,"Numerical quantity calculated by humans, and so an artifact."
clustering,Artifact,"Function defined on a dataset, and therefore an artifact."
clustering balance,Artifact,"Numerical quantity calculated by humans, and so an artifact."
clustering entropy,Artifact,"Numerical quantity calculated by humans, and so an artifact."
clustering fairness metric,"Artifact, Precept",Both a numerical quantity calculated by humans (and so an artifact) and fairness goal to be optimized (and so a precept).
clustering fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
clustering objective cost,Artifact,"Numerical quantity calculated by humans, and so an artifact."
clustering statistical metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
condition negative,Artifact,"Numerical quantity calculated by humans, and so an artifact."
condition positive,Artifact,"Numerical quantity calculated by humans, and so an artifact."
conditional statistical parity,Precept,"Definition of a fairness goal, therefore a precept."
conditional use accuracy equality,Precept,"Definition of a fairness goal, therefore a precept."
constrained optimization mitigation,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
continous value prediction,Artifact,"Numerical quantity outputted by an algorithm, and so an artifact."
correlation remover,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
cross-pair group fairness,Artifact,"Numerical quantity calculated by humans, and so an artifact."
dataset cohort,"Agent, Artifact","Subset of a dataset, therefore an artifact. Also a group of agents whose data composes the set, and so is itself an agent."
difference metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
difference-based fairness metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
disparate impact,Artifact,"Numerical quantity calculated by humans, and so an artifact."
distance from the center,Artifact,"Numerical quantity calculated by humans, and so an artifact."
distributional individual fairness,Precept,"Definition of a fairness goal, therefore a precept."
diversity-aware fairness,Precept,"Definition of a fairness goal, therefore a precept."
egalitarian fair clustering under a bounded cost,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
equal accuracy for regression,Precept,"Definition of a fairness goal, therefore a precept."
equal negative predictive value,Precept,"Definition of a fairness goal, therefore a precept."
equal opportunity,Precept,"Definition of a fairness goal, therefore a precept."
equal opportunity for regression,Precept,"Definition of a fairness goal, therefore a precept."
equalized odds,Precept,"Definition of a fairness goal, therefore a precept."
error gap,Artifact,"Numerical quantity calculated by humans, and so an artifact."
error type ratio,Artifact,"Numerical quantity calculated by humans, and so an artifact."
essential cluster fairness,Precept,"Definition of a fairness goal, therefore a precept."
evaluation metric,"Artifact, Precept",Both a numerical quantity calculated by humans (and so an artifact) and fairness goal to be optimized (and so a precept).
expected value,Artifact,"Numerical quantity calculated by humans, and so an artifact."
expected value of model,Artifact,"Numerical quantity calculated by humans, and so an artifact."
exponentiation gradient,Artifact,"Numerical quantity calculated by humans, and so an artifact."
fair clustering under a bounded cost,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
fair summary fairness,Precept,"Definition of a fairness goal, therefore a precept."
fairlet decomposition,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
fairness degree,Artifact,"Numerical quantity calculated by humans, and so an artifact."
fairness metric,"Artifact, Precept",Both a numerical quantity calculated by humans (and so an artifact) and fairness goal to be optimized (and so a precept).
fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
fairness notion categorization,Precept,"Definition of a fairness goal, therefore a precept."
fairness notion subcategorization,Precept,"Definition of a fairness goal, therefore a precept."
fairness penalty,Artifact,"Numerical quantity calculated by humans, and so an artifact."
fairness through awareness,Precept,"Strategy for achieving fairness, and so a precept."
fairness through unawareness,Precept,"Strategy for achieving fairness, and so a precept."
false discovery rate,Artifact,"Numerical quantity calculated by humans, and so an artifact."
false negative count,Artifact,"Numerical quantity calculated by humans, and so an artifact."
false negative outcome,Artifact,"Numerical quantity calculated by humans, and so an artifact."
false negative rate,Artifact,"Numerical quantity calculated by humans, and so an artifact."
false omission rate,Artifact,"Numerical quantity calculated by humans, and so an artifact."
false positive count,Artifact,"Numerical quantity calculated by humans, and so an artifact."
false positive outcome,Artifact,"Numerical quantity calculated by humans, and so an artifact."
false positive rate,Artifact,"Numerical quantity calculated by humans, and so an artifact."
grid search,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
group egalitarian clustering,Artifact,"Defined as measurement calculated by humans, and so an artifact."
group fairness paradigm,Precept,"Paradigm describing how fairness should be achieved, as such it is a goal for agents and therefore a precept."
group leximin clustering,Artifact,"Defined as measurement calculated by humans, and so an artifact."
group mean difference,Artifact,"Numerical quantity calculated by humans, and so an artifact."
group utilitarian clustering,Artifact,"Defined as measurement calculated by humans, and so an artifact."
group-level fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
hard clustering,Artifact,"Function defined on a dataset, and therefore an artifact."
high-level fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
historical bias,Precept,"As a perceived problem to be solved, this is a precept."
hybrid fairness paradigm,Precept,"Paradigm describing how fairness should be achieved, as such it is a goal for agents and therefore a precept."
in-processing bias mitigation method,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
independence,Precept,"Definition of a property that functions as a fairness goal, therefore a precept."
independence-class fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
