Original Ontology Class,SCRF Classification,Justification
Afar,Artifact,Defined as a gender identity datum; data are artifacts.
Anatomical cluster,Artifact,"Defined as a material anatomical entity, therefore an artifact."
Anatomical structure,Artifact,"Defined as physical anatomical entity, therefore an artifact."
EL++ ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
Heterogeneous cluster,Artifact,"Defined as an anatomical structure, therefore an artifact."
Homo sapiens,Agent,"Defined as a member of the human species, therefore an agent."
Homo sapiens role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
Material anatomical entity,Artifact,"Defined as a physical anatomical entity, therefore an artifact."
Medicaid policy holder role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
OMB American Indian or Alaska Native identity information content entity,Artifact,"Subclass of an information content entity, therefore an artifact."
OMB Asian identity information content entity,Artifact,"Subclass of an information content entity, therefore an artifact."
OMB Hispanic or Latino identity information content entity,Artifact,"Subclass of an information content entity, therefore an artifact."
OMB Native Hawaiian or other Pacific Islander identity information content entity,Artifact,"Subclass of an information content entity, therefore an artifact."
OMB black or African American identity information content entity,Artifact,"Subclass of an information content entity, therefore an artifact."
OMB ethnic identity information content entity,Artifact,"Subclass of an information content entity, therefore an artifact."
OMB not Hispanic or Latino identity information content entity,Artifact,"Subclass of an information content entity, therefore an artifact."
OMB racial identification process,"Artifact, Precept","Subclass of an information content entity, therefore an artifact."
OMB racial identity information content entity,Artifact,"Subclass of an information content entity, therefore an artifact."
OMB white identity information content entity,Artifact,"Subclass of an information content entity, therefore an artifact."
ORCID identifier,Artifact,"Legally registered identifier and essentially a string of numbers, therefore an artifact."
Postal delivery route,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
Subdivision of larynx,Artifact,"Subclass of a heterogenous cluster, therefore an artifact."
U.S. veteran role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
US Census reference person role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
US Census unemployed role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
US census householder role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
US physician assistant role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
US state Medicaid agency,Agent,"Decision-making body composed of multiple agents, therefore an agent itself."
Venn diagram,Artifact,"Report graph created by humans, therefore an artifact."
WIC data item,Artifact,"Subclass of a data item, therefore an artifact."
abbreviation textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
abbreviations section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
abstract,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
abusive behavior,"Artifact, Precept","Behavior that is created by a human (and therefore is an artifact), but also a perceived problem (and so a precept)."
academic degree,Artifact,"Created by humans, and therefore is an artifact."
acknowledgements section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
action specification,"Artifact, Precept","Subclass of an information content entity, therefore an artifact."
acute care encounter,Artifact,"Event created through the coordinated actions of humans, therefore an artifact."
additional results section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
admission process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
adult foster home facility,Artifact,"Physical building created by humans, therefore an artifact."
adult foster home function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
age measurement datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
aggregate of objectual organisms,"Agent, Artifact",Arbitrary group of organisms but together either through human actiity (and therefore is an artifact) or through self-organization (and therefore is an agent).
aggregate of organizations,Agent,Functions as a group agent.
algorithm,"Artifact, Precept","Described as a plan specification, and so both an artifact and precept."
ambulatory surgery facility,Artifact,"Physical building created by humans, therefore an artifact."
ambulatory surgery function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
analysis subset ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
anesthesiologist role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
answer set,Artifact,Subclass of information content entity and therefore is an artifact.
answer to identity question,Artifact,Subclass of information content entity and therefore is an artifact.
architectural structure,Artifact,"Physical building created by humans, therefore an artifact."
assigning a centrally registered identifier,"Artifact, Precept","Subclass of a planned process, and therefore both an artifact and a precept."
assistance with activities of daily living care encounter,Artifact,"Physically-realized event created by humans, and therefore is an artifact."
assistance with instrumental activities of daily living encounter,Artifact,"Physically-realized event created by humans, and therefore is an artifact."
assisted living facility,Artifact,"Physical building created by humans, therefore an artifact."
assisted living function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
assistive care encounter,Artifact,"Physically-realized event created by humans, and therefore is an artifact."
associate degree,Artifact,"Created by humans, and therefore is an artifact."
associating information with a centrally registered identifier in its registry,"Artifact, Precept","Subclass of a planned process, and therefore both an artifact and a precept."
authentication,Artifact,"Described as an ""act of checking or verifying an identity claim."" That act is created by humans, and so is an artifact."
author contributions section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
author identification,Artifact,"Textual entity created by humans, and therefore is an artifact."
author information section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
author information textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
author list,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
author role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
author summary section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
author summary textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
availability section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
availability textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
